"   ","FUNID","PARENTID","FUNCODE","FUNNAME","CANCELFLAG","FUNTYPE","FUNLEVEL","FUNSORT","URL","ICONCLS","TARGET","PARENTIDPATH","MAKEMAN","MAKETIME","UPDATEMAN","UPDATETIME","REMARK"
"1","100309","100008","boxDemol","集装箱箱型","0","1","","10","","","","0,100008,","admin","2018/3/28 17:08:11","admin","2018/3/28 17:08:11",""
"2","100353","100008","area","区域管理","0","1","","10","","","","0,100008,","admin","2018/3/29 16:15:24","admin","2018/3/29 16:15:24",""
"3","851834","100351","aaaaaa","aaaaa","0","1","","10","","","","0,100008,100351,","admin","2018/3/30 17:30:18","admin","2018/3/30 20:43:44",""
"4","100335","100008","region","地区表","0","1","","10","","","","0,100008,","admin","2018/3/29 8:33:59","admin","2018/3/29 8:33:59",""
"5","100340","100008","port","港口表","0","1","","10","","","","0,100008,","admin","2018/3/29 9:29:56","admin","2018/3/29 9:29:56",""
"6","100325","100008","countries","国家表","0","1","","10","","","","0,100008,","admin","2018/3/28 18:27:15","admin","2018/3/29 8:28:52",""
"7","100345","100008","customerData","客户资料","0","1","","10","","","","0,100008,","admin","2018/3/29 14:50:25","admin","2018/3/29 14:52:16",""
"8","100351","100008","secMenu^test","次级菜单测试","0","1","","10","","","","0,100008,","admin","2018/3/29 16:08:05","admin","2018/3/29 17:57:08",""
"9","100358","100008","vehicle","车辆管理","0","1","","10","","","","0,100008,","admin","2018/3/29 17:17:07","admin","2018/3/29 17:17:07",""
"10","83993","2","groupEdit","修改","0","2","","10","","","","0,1,2,","admin","2017/8/16 15:28:06","admin","2017/8/16 15:28:06",""
"11","84021","4","userinfoEdit","修改","0","2","","10","","","","0,1,4,","admin","2017/8/16 15:32:27","admin","2017/8/16 15:32:27",""
"12","5","1","roleinfo","角色管理","0","1","1","2","/sys/roleinfo/pageList","","","0,1,","admin","2017/7/17 14:11:38","admin","2018/3/23 17:09:46",""
"13","83694","6","functionRecover","恢复","0","2","","10","","","","0,1,6,","admin","2017/8/16 14:53:20","admin","2017/8/16 14:57:25",""
"14","6","1","function","菜单管理","0","1","1","5","/sys/function/pageList","","","0,1,","admin","2017/7/17 14:11:38","admin","2017/8/8 14:28:38",""
"15","1","0","baseFunctionSetting","系统设置","0","1","0","1","/sys/function/pageList","users","","0,","admin","2017/7/17 14:11:38","admin","2017/8/8 17:12:55",""
"16","4","1","userinfo","账号管理","0","1","1","3","/sys/userinfo/pageList","","","0,1,","admin","2017/7/17 14:11:38","admin","2018/3/23 17:11:19",""
"17","84031","4","userinfoRecover","恢复","0","2","","10","","","","0,1,4,","admin","2017/8/16 15:33:11","admin","2017/8/16 15:33:11",""
"18","83946","5","roleinfoAdd","新增","0","2","","10","","","","0,1,5,","admin","2017/8/16 15:20:21","admin","2017/8/16 15:20:21",""
"19","83748","6","functionEdit","修改","0","2","","10","","","","0,1,6,","admin","2017/8/16 14:59:41","admin","2017/8/16 14:59:41",""
"20","83961","5","roleinfoEdit","修改","0","2","","10","","","","0,1,5,","admin","2017/8/16 15:21:17","admin","2017/8/16 15:21:17",""
"21","83980","5","roleinfoRecover","恢复","0","2","","10","","","","0,1,5,","admin","2017/8/16 15:22:31","admin","2017/8/16 15:22:31",""
"22","82307","6","functionAdd","新增","0","2","","10","","","","0,1,6,","admin","2017/8/16 11:05:21","admin","2017/8/16 11:05:21",""
"23","83629","6","functionDelete","删除","0","2","","10","","","","0,1,6,","admin","2017/8/16 14:43:41","admin","2017/8/16 14:43:41",""
"24","83988","2","groupAdd","新增","0","2","","10","","","","0,1,2,","admin","2017/8/16 15:27:50","admin","2017/8/16 15:27:50",""
"25","3","1","logs","登入日志","0","1","1","4","/sys/log/pageList","","","0,1,","admin","2017/7/17 14:11:38","admin","2017/8/8 14:28:44",""
"26","2","1","groupmanager","组织机构管理","0","1","1","1","/sys/groupinfo/pageList","","","0,1,","admin","2017/7/17 14:11:38","admin","2017/8/7 11:15:14",""
"27","83998","2","groupDelete","删除","0","2","","10","","","","0,1,2,","admin","2017/8/16 15:28:25","admin","2017/8/16 15:28:25",""
"28","84003","2","groupRecover","恢复","0","2","","10","","","","0,1,2,","admin","2017/8/16 15:28:48","admin","2017/8/16 15:28:48",""
"29","84016","4","userinfoAdd","新增","0","2","","10","","","","0,1,4,","admin","2017/8/16 15:32:06","admin","2017/8/16 15:32:06",""
"30","84026","4","userinfoDelete","删除","0","2","","10","","","","0,1,4,","admin","2017/8/16 15:32:48","admin","2017/8/16 15:32:48",""
"31","83973","5","roleinfoDelete","删除","0","2","","10","","","","0,1,5,","admin","2017/8/16 15:22:03","admin","2017/8/16 15:22:03",""
"32","100005","0","dashboard","主页","0","1","","10","","home","","0,","admin","2018/3/22 10:24:39","admin","2018/3/22 10:24:39",""
"33","100008","0","baseDataSetting","基础数据","0","1","","10","","database","","0,","admin","2018/3/22 10:27:38","admin","2018/3/22 10:33:18",""
"34","100010","100008","consize","集装箱尺寸","0","1","","10","","","","0,100008,","admin","2018/3/22 10:33:56","admin","2018/3/22 10:34:04",""
"35","100310","100351","test","功能测试页","0","1","","10","","wrench","","0,100008,100351,","admin","2018/3/28 17:20:14","admin","2018/3/31 9:37:30",""
"36","100362","100008","driver","司机管理","0","1","","10","","","","0,100008,","admin","2018/3/29 18:11:26","admin","2018/3/29 18:11:26",""
"37","851907","100008","psdict","字典管理","0","1","","1","","","","0,100008,","admin","2018/3/31 10:53:56","admin","2018/3/31 11:45:14",""
